ID,DR,Gaia,RAhRAmRAs,DEdDEmDEs,Gmag,GBPmag,GRPmag,N,RMS,Mm,n_
W2256,DR2,6045466498362111872,162334.70,-262931.1,14.87,15.45,14.01,3634,1.57,1.000,
W2257,DR2,6045466605746445440,162334.70,-262821.2,17.30,17.76,16.53,3630,6.56,1.000,
W2258,DR2,6045466605746436864,162334.71,-262839.8,17.70,18.13,16.88,3614,15.56,1.000,
W2259,DR2,6045503198869095296,162334.73,-262234.6,17.38,17.91,16.61,3614,4.52,1.000,
W2260,DR2,6045478562935991168,162334.75,-262557.8,18.61,18.53,17.12,3435,74.07,1.000,
W2261,DR2,6045478562928301824,162334.77,-262555.6,19.17,,,3522,54.46,1.000,
W2262,DR2,6045466502657803264,162334.78,-262915.1,17.38,17.62,16.36,3652,7.65,1.000,
W2263,DR2,6045466601443132672,162334.78,-262814.0,16.67,17.06,15.86,3640,3.45,1.000,
W2264,DR2,6045502236796388608,162334.79,-262439.3,17.55,18.10,16.69,3603,4.15,0.000,
W2265,DR2,6045466502657762304,162334.80,-262924.5,16.44,16.90,15.71,3631,6.36,1.000,
W2266,DR2,6045502236796382208,162334.81,-262505.2,17.62,18.20,16.78,3630,4.64,0.000,
W2267,DR2,6045466605746440192,162334.81,-262833.7,16.65,17.13,15.91,3600,24.92,1.000,
W2268,DR2,6045466502657721088,162334.81,-262932.2,16.63,,,3632,4.68,1.000,
W2269,DR2,6045466502657691008,162334.82,-262942.5,16.83,17.15,15.97,3662,7.59,1.000,
W2270,DR2,6045478455545547520,162334.82,-262738.5,18.67,19.07,17.69,3611,17.14,1.000,
W2271,DR2,6045502339875628544,162334.83,-262303.2,18.54,19.07,17.61,3613,13.06,1.000,
W2272,DR2,6045478562928279168,162334.85,-262604.6,18.74,19.21,17.77,3530,52.95,1.000,
W2273,DR2,6045478459856718848,162334.85,-262715.3,15.91,16.53,15.11,3612,1.55,1.000,
W2274,DR2,6045478562928334464,162334.86,-262539.0,17.66,17.78,16.66,1537,913.05,1.000,
W2275,DR2,6045466605737054976,162334.87,-262902.9,18.88,19.08,17.58,3612,29.40,1.000,
W2276,DR2,6045478459856692992,162334.89,-262744.4,17.34,17.83,16.55,3617,4.76,1.000,
W2277,DR2,6045466502657717632,162334.90,-262933.8,16.50,16.69,15.33,3644,3.80,1.000,
W2278,DR2,6045466502667173632,162334.92,-262938.2,16.59,17.00,15.65,3645,7.54,1.000,
W2279,DR2,6045466502667184384,162334.94,-262927.0,18.87,19.04,17.42,3445,72.36,1.000,
W2280,DR2,6045503297636808320,162334.94,-262122.5,18.17,18.72,17.32,3610,7.62,1.000,
W2281,DR2,6045466605746447616,162334.94,-262811.6,18.66,18.96,17.64,3633,19.83,1.000,
W2282,DR2,6045466502667197056,162334.95,-262914.2,18.32,18.57,17.30,3650,18.74,1.000,
W2283,DR2,6045478459856711040,162334.95,-262724.8,17.85,18.33,17.01,3594,11.32,1.000,
W2284,DR2,6045466601436950656,162334.97,-262853.5,16.77,16.41,15.41,3641,4.06,1.000,
W2285,DR2,6045503198869097600,162334.98,-262220.8,17.29,17.81,16.52,3593,3.02,1.000,
W2286,DR2,6045502335563963904,162334.98,-262404.3,19.15,19.58,18.14,3584,52.70,0.000,
W2287,DR2,6045466502657669632,162334.99,-262944.8,16.42,16.89,15.66,3650,4.16,1.000,
W2288,DR2,6045466605746446464,162334.99,-262816.2,17.35,17.80,16.57,3638,5.84,1.000,
W2289,DR2,6045466502667200640,162334.99,-262910.4,18.86,18.73,17.25,3634,30.77,1.000,
W2290,DR2,6045503198869102976,162335.01,-262157.7,18.34,18.86,17.47,3618,7.67,1.000,
W2291,DR2,6045478459856728448,162335.02,-262701.6,17.03,17.51,16.28,3630,2.79,1.000,
W2292,DR2,6045478459856703232,162335.02,-262731.1,17.71,18.28,16.78,3606,8.54,0.000,
W2293,DR2,6045466502667187968,162335.02,-262922.9,16.34,16.65,15.40,3653,5.45,1.000,
W2294,DR2,6045466605737066240,162335.05,-262857.1,15.87,16.45,15.06,3639,1.70,1.000,
W2295,DR2,6045466502667179776,162335.05,-262930.0,15.34,15.97,14.52,3613,2.26,1.000,
